row,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
277328,0.7523462772,0.1546149403,0.0930387825,0.8437851428,0.1254575278,0.0307573294
277830,0.1506557167,0.3041189015,0.5452253819,0.0161017737,0.2348473515,0.7490508747
278076,0.1329987476,0.5391055861,0.3278956662,0.0175450142,0.6416192833,0.3408357025
278095,0.1302510759,0.3787775821,0.4909713420,0.0154903068,0.3337587411,0.6507509520
278142,0.1239835154,0.2692463358,0.6067701488,0.0174434852,0.1710895259,0.8114669889
278305,0.2278795838,0.4333875179,0.3387328982,0.1631530706,0.4860983807,0.3507485487
278349,0.0282750119,0.0460710278,0.9256539603,0.0117506621,0.0414070952,0.9468422427
278419,0.0117213661,0.0125731863,0.9757054475,0.0113163443,0.0359698085,0.9527138472
278467,0.0584179189,0.0923895372,0.8491925439,0.0130408152,0.1135001800,0.8734590048
278597,0.0312023124,0.0437878443,0.9250098432,0.0118867284,0.0414013941,0.9467118776
278854,0.0613297531,0.1076657937,0.8310044532,0.0130967718,0.1134937450,0.8734094832
278891,0.1919613481,0.3611393571,0.4468992949,0.0256053068,0.3715052614,0.6028894317
278893,0.0134027759,0.0164454357,0.9701517884,0.0113163443,0.0359698085,0.9527138472
278979,0.2007835746,0.2682270328,0.5309893927,0.0323827884,0.1684881913,0.7991290203
279015,0.0925075913,0.1468366054,0.7606558034,0.0161265432,0.1281800609,0.8556933959
279039,0.0366618113,0.0601858983,0.9031522904,0.0123557061,0.0436006492,0.9440436448
279043,0.0918134004,0.1649071425,0.7432794571,0.0160201710,0.1292855903,0.8546942387
279324,0.0224502906,0.0272628441,0.9502868652,0.0113960417,0.0394764844,0.9491274739
279530,0.0480134271,0.1018716187,0.8501149543,0.0126621184,0.1135437301,0.8737941515
279637,0.0164015238,0.0243486800,0.9592497963,0.0113524577,0.0379843239,0.9506632184
279752,0.0303016597,0.0360086442,0.9336896961,0.0118867284,0.0414013941,0.9467118776
279922,0.0366545136,0.0535813686,0.9097641178,0.0122168110,0.0413875638,0.9463956252
279928,0.0730399995,0.1238491209,0.8031108796,0.0140622000,0.1133827209,0.8725550791
280268,0.2435143888,0.4698690176,0.2866165936,0.1885055372,0.4943960011,0.3170984618
280439,0.0637732963,0.0951275669,0.8410991368,0.0132675605,0.1134741043,0.8732583352
280453,0.0578580950,0.0717085084,0.8704333966,0.0135609393,0.0594311768,0.9270078838
