"id","y","fold","va_intact","va_moderate","va_severe"
568,2,3,0.0118071735296114,0.110899476024519,0.87729335044587
570,2,2,0.0203412849811732,0.149866435346002,0.829792279672825
571,2,3,0.0107423529979946,0.103890373975769,0.885367273026237
581,1,2,0.0155603602257406,0.103584462192582,0.880855177581678
592,1,1,0.255178112031247,0.238484216851633,0.50633767111712
593,2,3,0.0165448249326664,0.198537899191997,0.784917275875337
594,1,4,0.0215820437396086,0.183879012661466,0.794538943598926
599,2,3,0.155979163542424,0.104026665233052,0.739994171224524
603,2,3,0.0107064813203448,0.0973944429786205,0.891899075701035
610,2,3,0.00990253585208645,0.0551330374467516,0.934964426701162
611,2,4,0.0164366016792372,0.137469759499075,0.846093638821688
617,2,4,0.0153723108622863,0.0377665415011726,0.946861147636541
620,2,4,0.0216255117329904,0.348462146506058,0.629912341760951
622,2,0,0.0137806375524342,0.185313310244575,0.80090605220299
625,1,0,0.0219636438819255,0.288568490387145,0.68946786573093
632,1,2,0.0234916224391239,0.127214026590246,0.849294350970631
634,2,3,0.0160885135496285,0.220642471537763,0.763269014912609
635,2,0,0.0107251213852946,0.0654423639951148,0.923832514619591
636,1,0,0.0167860381135043,0.296998424349162,0.686215537537334
638,2,1,0.0198313416035151,0.237350258087041,0.742818400309444
660,2,4,0.0215820437396086,0.183879012661466,0.794538943598926
665,1,0,0.0125185750552191,0.299384155384179,0.688097269560602
676,2,2,0.0202290715190933,0.167451758685828,0.812319169795079
683,2,2,0.0158097191184369,0.0859527650648804,0.898237515816683
685,1,3,0.020313939085972,0.16726347381459,0.812422587099438
687,2,3,0.1325010191649,0.222487185505796,0.645011795329304
689,2,3,0.0141187564078744,0.110640059721223,0.875241183870903
693,2,2,0.014893663718368,0.0514276935232535,0.933678642758379
696,2,3,0.011055283188829,0.109191965810477,0.879752751000694
697,2,4,0.0140690663255984,0.0227023570253974,0.963228576649004
698,1,0,0.0129439566808728,0.120427324590216,0.866628718728911
699,2,4,0.0207138671963305,0.158844888481357,0.820441244322312
700,1,4,0.0149154316435521,0.0264290981754169,0.958655470181031
701,2,2,0.0177950446494965,0.104957348845592,0.877247606504911
706,2,2,0.0211913159067899,0.167287302372294,0.811521381720916
707,2,4,0.017125411541146,0.149234019509497,0.833640568949357
709,1,3,0.013511596965275,0.112640555824006,0.873847847210719
714,2,4,0.0215820437396086,0.183879012661466,0.794538943598926
718,2,4,0.0211950911801812,0.136804679435715,0.842000229384104
721,2,1,0.019325311083407,0.178554986911479,0.802119702005114
724,1,0,0.309219072768703,0.271226867133761,0.419554060097536
726,1,0,0.0138980584702361,0.22217984629289,0.763922095236874
728,2,2,0.0172682575848423,0.37165127713155,0.611080465283607
734,2,4,0.0154475885388859,0.0330545174111645,0.95149789404995
736,2,4,0.0193757333776893,0.269740601924694,0.710883664697617
739,2,3,0.0125404506524176,0.110817184343663,0.876642365003919
740,1,3,0.0118921750673159,0.104498713680997,0.883609111251687
741,1,1,0.0196993789980569,0.11496062719639,0.865339993805553
750,2,1,0.0200906682948608,0.114914740391861,0.864994591313278
755,1,3,0.0145171516648812,0.408294890574783,0.577187957760336
759,2,3,0.0151620631746691,0.14566146096421,0.839176475861121
763,1,3,0.0175689501935743,0.148927366204295,0.833503683602131
766,2,3,0.0179144889612446,0.239593923912886,0.74249158712587
768,2,3,0.0100966458214895,0.0551222285389426,0.934781125639568
770,2,4,0.0210592999495231,0.161493849519807,0.81744685053067
774,2,3,0.017179384738314,0.167798641630044,0.815021973631642
779,2,4,0.0193757333776893,0.269740601924694,0.710883664697617
780,2,0,0.0143017652217363,0.185734766761233,0.799963468017031
783,2,4,0.0156913280776228,0.0445724681625227,0.939736203759854
784,2,0,0.0126916741291057,0.0984378627574541,0.88887046311344
785,2,3,0.0162198451726322,0.214280523381563,0.769499631445805
786,2,1,0.0175930802988102,0.162550150366472,0.819856769334718
